Index	Abbreviation	Full_Name	First_Level	Last_Level
1	Frontal	Frontal_Lobe	1	1
2	ACgG	anterior_cingulate_gyrus	2	2
3	ACC	anterior_cingulate_cortex	3	3
4	area_32	area_32	4	6
5	area_25	subgenual_cortex	4	6
6	area_24	area_24	4	4
7	area_24a/b	areas_24a_and_24b	5	5
8	area_24a	area_24a	6	6
9	area_24b	area_24b	6	6
10	area_24c	area_24c	5	6
11	MCC	midcingulate_cortex	3	4
12	area_24a/b_prime	areas_24a'_and_24b'	5	5
13	area_24a_prime	area_24a'	6	6
14	area_24b_prime	area_24b'	6	6
15	area_24c_prime	area_24c'	5	6
16	OFC	orbital_frontal_cortex	2	2
17	med_OFC	medial_orbital_frontal_cortex	3	3
18	area_10	frontal_pole	4	5
19	area_10mr	rostral_medial_frontal_pole	6	6
20	area_10mc	caudal_medial_frontal_pole	6	6
21	area_10o	orbital_frontal_pole	6	6
22	area_14	gyrus_rectus	4	5
23	area_14r	rostral_gyrus_rectus	6	6
24	area_14c	caudal_gyrus_rectus	6	6
25	lat_OFC	lateral_orbital_frontal_cortex	3	3
26	areas_11/13	areas_11_and_13	4	4
27	area_11	area_11	5	5
28	area_11m	medial_area_11	6	6
29	area_11l	lateral_area_11	6	6
30	area_13	area_13	5	5
31	area_13a/b	areas_13a_and_13b	6	6
32	area_13m	medial_area_13	6	6
33	area_13l	lateral_area_13	6	6
34	area_12m/o	medial_and_orbital_area_12	4	5
35	area_12m	medial_area_12	6	6
36	area_12o	orbital_area_12	6	6
37	caudal_OFC	caudal_orbital_frontal_cortex	3	3
38	OFa-p	agranular_orbitofrontal_cortex	4	4
39	Iam/Iapm	medial_agranular_insular_region	5	6
40	lat_Ia	lateral_agranular_insular_region	5	5
41	Iai	intermediate_agranular_insula_area	6	6
42	Ial	lateral_agranular_insula_area	6	6
43	Iapl	posterior_lateral_agranular_insula_area	6	6
44	OLF	primary_olfactory_cortex	4	5
45	AON/TTv	anterior_olfactory_cortex	6	6
46	OT/Pir	posterior_olfactory_cortex	6	6
47	cl_OFC	caudolateral_orbitofrontal_cortex	4	4
48	G	gustatory_cortex	5	6
49	PrCO	precentral_operular_area	5	6
50	lat_PFC	lateral_prefrontal_cortex	2	2
51	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	3	5
52	area_8Ad	dorsal_periarcuate_area_8A	6	6
53	area_8Av	ventral_periarcuate_area_8A	6	6
54	dlPFC	dorsolateral_prefrontal_cortex	3	3
55	area_8B	area_8B	4	5
56	area_8Bd	dorsal_area_8B	6	6
57	area_8Bm	medial_area_8B	6	6
58	area_8Bs	arcuate_sulcus_area_8B	6	6
59	rostral_dlPFC	rostral_dorsolateral_prefrontal_cortex	4	4
60	area_9	area_9	5	5
61	area_9d	dorsal_area_9	6	6
62	area_9m	medial_area_9	6	6
63	area_46d	dorsal_area_46	5	6
64	vlPFC	ventrolateral_prefrontal_cortex	3	3
65	rostral_vlPFC	rostral_ventrolateral_prefrontal_cortex	4	4
66	area_46v/f	ventral_and_fundus_portion_of_area_46	5	5
67	area_46f	area_46_in_fundus_of_the_principal_sulcus	6	6
68	area_46v	ventral_area_46	6	6
69	area_12r/l	rostral_and_lateral_area_12	5	5
70	area_12l	lateral_area_12	6	6
71	area_12r	rostral_area_12	6	6
72	caudal_vlPFC	caudal_ventrolateral_prefrontal_cortex	4	4
73	area_45	area_45	5	5
74	area_45a	area_45a	6	6
75	area_45b	area_45b	6	6
76	area_44	area_44	5	6
77	motor	motor_cortex	2	2
78	M1/PM	lateral_motor_cortex	3	3
79	M1	primary_motor_cortex	4	6
80	PM	premotor_cortex	4	4
81	PMd	dorsal_premotor_cortex	5	5
82	PMdc	caudal_dorsal_premotor_cortex	6	6
83	PMdr	rostral_dorsal_premotor_cortex	6	6
84	PMv	ventral_premotor_cortex	5	5
85	F4	area_F4_of_ventral_premotor_cortex	6	6
86	F5	area_F5_of_ventral_premotor_cortex	6	6
87	SMA/preSMA	medial_supplementary_motor_areas	3	4
88	preSMA	presupplementary_motor_area	5	6
89	SMA	supplementary_motor_area	5	6
90	Parietal	Parietal_Lobe	1	1
91	SI/SII	somatosensory_cortex	2	2
92	SI	primary_somatosensory_cortex	3	4
93	area_3a/b	areas_3a_and_3b	5	6
94	areas_1-2	areas_1-2	5	6
95	SII	secondary_somatosensory_cortex	3	6
96	SPL	superior_parietal_lobule	2	2
97	V6/V6A	visual_areas_V6_and_V6A	3	3
98	V6	visual_area_V6	4	6
99	V6A	visual_area_V6A	4	5
100	V6Av	ventral_visual_area_6A	6	6
101	V6Ad	dorsal_visual_area_6A	6	6
102	area_5	area_5	3	4
103	area_5d	dorsal_area_5	5	5
104	PEc/PEci	areas_PEc_and_PEci	6	6
105	PE	area_PE	6	6
106	PEa	area_PEa	5	6
107	vm_IPS	ventromedial_intraparietal_sulcus	3	4
108	MIP	medial_intraparietal_area	5	6
109	fundus_IPS	fundus_of_the_intraparietal_sulcus	5	5
110	VIP	ventral_intraparietal_area	6	6
111	PIP	posterior_intraparietal_area	6	6
112	IPL	inferior_parietal_lobule	2	2
113	lat_IPS	lateral_intraparietal_sulcus	3	4
114	AIP	anterior_intraparietal_area	5	6
115	LIP	lateral_intraparietal_area	5	5
116	LIPd	dorsal_lateral_intraparietal_area	6	6
117	LIPv	ventral_lateral_intraparietal_area	6	6
118	LOP	lateral_occipital_parietal_area	5	6
119	MST	medial_superior_temporal_area	3	6
120	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule	3	4
121	area_7a/b	inferior_parietal_lobule_areas_7a_and_7b	5	5
122	area_7a	caudal_inferior_parietal_lobule_area_7a_(Opt/PG)	6	6
123	area_7b	rostral_inferior_parietal_lobule_area_7b_(PFG/PF)	6	6
124	area_7op	parietal_operculum	5	6
125	PMC	posterior_medial_cortex	2	2
126	area_7m	area_7_(PGm)_on_the_medial_wall	3	6
127	PCgG	posterior_cingulate_gyrus	3	3
128	PCC	posterior_cingulate_cortex	4	4
129	area_31	area_31	5	6
130	area_23	area_23	5	5
131	area_23a	area_23a	6	6
132	area_23b	area_23b	6	6
133	area_23c	area_23c	6	6
134	area_v23	area_v23	5	6
135	RSC	retrosplenial_cortex	4	4
136	area_29	area_29	5	6
137	area_30	area_30	5	6
138	Temporal	Temporal_Lobe	1	1
139	MTL	medial_temporal_lobe	2	2
140	HC	hippocampus	3	3
141	HiF	hippocampal_formation	4	4
142	CA_fields	hippocampus_proper	5	5
143	CA1-CA3	hippocampal_subfields_CA1-CA3	6	6
144	CA4	hippocampal_subfield_CA4	6	6
145	DG	dentate_gyrus	5	6
146	Sub/proS	subiculum_and_prosubiculum	5	6
147	preS/paraS	presubiculum_and_parasubiculum	4	6
148	paraHipp	parahippocampal_cortex	3	4
149	TF/TFO	areas_TF_and_TFO	5	5
150	TFO	area_TFO	6	6
151	TF	area_TF	6	6
152	TH	area_TH	5	6
153	Rh	rhinal_cortex	3	3
154	ERh	entorhinal_cortex	4	4
155	caudal_ERh	caudal_entorhinal_cortex	5	5
156	EC	caudal_division_of_entorhinal_cortex	6	6
157	ECL	caudal_limiting_division_of_entorhinal_cortex	6	6
158	mid_ERh	middle_entorhinal_cortex	5	6
159	rostral_ERh	rostral_entorhinal_cortex	5	6
160	PRh	perirhinal_cortex	4	4
161	area_35	area_35	5	6
162	area_36	area_36	5	5
163	area_36c	caudal_area_36	6	6
164	area_36r/p	rostral_and_polar_area_36	6	6
165	TG	temporal_pole	2	3
166	TGa	agranular_temporal_pole	4	6
167	TGg/TGd	granular_and_dysgranular_temporal_pole	4	4
168	TGd	dysgranular_temporal_pole	5	5
169	TGdd	dorsal_dysgranular_temporal_pole	6	6
170	TGvd	ventral_dysgranular_temporal_pole	6	6
171	TGg	granular_temporal_pole	5	5
172	TGdg	dorsal_granular_temporal_pole	6	6
173	TGvg	ventral_granular_temporal_pole	6	6
174	TGsts	sts_part_of_temporal_pole	6	6
175	ITC	inferior_temporal_cortex	2	2
176	TEO	area_TEO	3	6
177	TE	area_TE	3	3
178	gyral_TE	gyral_aspect_of_area_TE	4	4
179	post_TE	posterior_area_TE	5	5
180	TEpv	posterior_ventral_area_TE	6	6
181	TEpd	posterior_dorsal_area_TE	6	6
182	ant_TE	anterior_area_TE	5	5
183	TEav	anterior_ventral_area_TE	6	6
184	TEad	anterior_dorsal_area_TE	6	6
185	TE_in_STSv	area_TE_in_the_ventral_STS	4	5
186	TEm	area_TEm	6	6
187	TEa	area_TEa	6	6
188	STSf	fundus_of_the_superior_temporal_sulcus	3	4
189	ant_STSf	anterior_fundus_of_the_superior_temporal_sulcus	5	5
190	IPa	area_IPa	6	6
191	PGa	area_PGa	6	6
192	FST	floor_of_the_superior_temporal_area	5	6
193	STG/STSd	superior_temporal_region	2	2
194	STGr/STSd	rostral_superior_temporal_region	3	3
195	STSd	dorsal_bank_of_the_superior_temporal_sulcus	4	4
196	TPO	temporal_parietooccipital_associated_area	5	6
197	TAa	area_TAa	5	6
198	STGr	rostral_superior_temporal_gyrus	4	6
199	STGc	caudal_superior_temporal_gyrus	3	4
200	Tpt	temporo-parietal_area	5	6
201	parabelt	parabelt_areas_of_auditory_cortex	5	5
202	CPB	caudal_parabelt_region	6	6
203	RPB	rostral_parabelt_region	6	6
204	core/belt	core_and_belt_areas_of_auditory_cortex	2	2
205	belt	belt_areas_of_auditory_cortex	3	3
206	lat_belt	lateral_belt_areas	4	4
207	CL/ML	caudal_areas_of_the_lateral_belt	5	5
208	CL	caudal_lateral_belt_region	6	6
209	ML	middle_lateral_belt_region	6	6
210	AL/RTL	rostral_areas_of_the_lateral_belt	5	5
211	AL	anterior_lateral_belt_region	6	6
212	RTL	lateral_rostrotemporal_belt_region	6	6
213	med_belt	medial_belt_areas	4	4
214	CM	caudomedial_belt_region	5	6
215	RM/RTM	rostral_areas_of_the_medial_belt	5	5
216	RM	rostromedial_belt_region	6	6
217	RTM	medial_rostrotemporal_belt_region	6	6
218	RTp	polar_rostrotemporal_cortex	3	6
219	core	core_areas_of_auditory_cortex	3	4
220	R/RT	rostral_areas_of_the_core	5	5
221	R	rostral_core_region	6	6
222	RT	rostrotemporal_core_region	6	6
223	AI	primary_auditory_cortex	5	6
224	floor_of_ls	floor_of_the_lateral_sulcus	2	3
225	Ins/Pi	insula_and_parainsula	4	4
226	Pi	parainsula	5	6
227	Ins	insula	5	5
228	Ia/Id	agranular_and_dysgranular_insula	6	6
229	Ig	granular_insula	6	6
230	Ri	retroinsula	4	6
231	Occipital	Occipital_Lobe	1	1
232	MT	middle_temporal_area	2	6
233	V2-V4	extrastriate_visual_areas_2-4	2	2
234	V4	visual_area_4	3	4
235	V4d	dorsal_visual_area_4	5	6
236	V4v	ventral_visual_area_4	5	6
237	V2-V3	preoccipital_visual_areas_2-3	3	3
238	V3	visual_area_3	4	4
239	V3d/V3A	visual_areas_V3d_and_V3A	5	5
240	V3A	visual_area_V3A	6	6
241	V3d	dorsal_visual_area_3	6	6
242	V3v	ventral_visual_area_3	5	6
243	V2	visual_area_2	4	5
244	possibly_V2	possibly_part_of_visual_area_2	6	6
245	clearly_V2	clearly_part_of_visual_area_2	6	6
246	V1	primary_visual_cortex	2	6
